Data,ID_Obra,Tipo_Obra,Material,Equipamento,Area_m2,Espessura_cm,Custo_Orcado_RS,Custo_Real_RS,Consumo_Diesel_L
2024-05-16,OBRA_56-3410,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,7919,5.0,1006736.97,1001601.85,989.88
2025-06-13,OBRA_63-0173,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,4757,3.0,298071.49,296551.82,356.77
2024-07-22,OBRA_51-7084,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,4723,3.0,219047.46,229414.7,354.22
2025-10-08,OBRA_73-0260,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,5123,3.5,276808.94,275592.83,448.26
2024-04-18,OBRA_59-3494,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,4478,3.5,223884.37,303092.62,391.82
2024-03-19,OBRA_43-0630,Concessionária/Rodovia,Binder,Vibroacabadora,13203,4.0,1249420.46,1246150.53,1320.3
2024-08-08,OBRA_23-6336,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,14436,3.0,684889.84,668111.49,1082.7
2024-03-21,OBRA_78-0802,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,6518,3.5,397755.68,384732.31,570.32
2024-12-24,OBRA_51-8947,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,2618,6.0,259331.56,255206.23,392.7
2025-06-24,OBRA_12-8264,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,1007,6.0,98775.9,100296.99,151.05
2024-06-20,OBRA_81-8073,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,6549,3.5,332512.26,338134.43,573.04
2024-06-08,OBRA_06-7921,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,7979,4.0,1030195.21,1028581.89,797.9
2026-01-25,OBRA_56-3412,Concessionária/Rodovia,Binder,Caminhão Espargidor,5970,6.0,655163.73,632976.01,895.5
2024-12-02,OBRA_73-8640,Concessionária/Rodovia,Binder,Caminhão Espargidor,9894,6.0,849714.9,822545.78,1484.1
2025-01-07,OBRA_08-5109,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,5039,3.5,283151.71,279675.58,440.91
2025-06-26,OBRA_21-4724,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,9000,4.0,874563.49,845836.82,900.0
2024-08-25,OBRA_84-0460,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,12442,5.0,1073088.42,1289675.47,1555.25
2025-05-01,OBRA_95-7491,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,9011,6.0,1105914.92,1151035.04,1351.65
2024-12-30,OBRA_72-8376,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,14744,3.0,695569.83,701500.85,1105.8
2025-01-22,OBRA_60-7982,Concessionária/Rodovia,Binder,Fresadora,10835,4.0,1087523.9,1283420.58,1083.5
2025-11-08,OBRA_72-7554,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,2329,6.0,238539.73,241648.51,349.35
2024-11-27,OBRA_33-5035,Concessionária/Rodovia,Binder,Fresadora,11948,5.0,1294168.02,1235070.21,1493.5
2025-05-29,OBRA_18-4633,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,10698,3.5,691443.62,697997.98,936.07
2025-12-02,OBRA_60-1407,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,10475,3.5,498471.48,517147.63,916.56
2024-09-14,OBRA_35-1463,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,1682,3.0,106064.44,102272.89,126.15
2025-10-07,OBRA_47-7667,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,2025,4.0,225787.84,227588.95,202.5
2025-02-17,OBRA_51-5208,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,7687,3.0,386731.85,382427.54,576.52
2024-10-23,OBRA_83-5746,Concessionária/Rodovia,Binder,Rolo Compactador,11740,4.0,1361696.68,1858674.4,1174.0
2024-08-12,OBRA_80-7663,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,8201,3.5,372510.05,385113.74,717.59
2025-04-14,OBRA_98-3986,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,9864,3.0,487570.94,504590.43,739.8
2025-04-08,OBRA_96-6919,Concessionária/Rodovia,Binder,Caminhão Espargidor,10361,5.0,1297203.79,1324499.16,1295.12
2024-05-16,OBRA_96-8687,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,1094,3.5,61285.39,60828.7,95.72
2024-05-19,OBRA_60-6451,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,9010,3.5,412062.41,397929.09,788.38
2025-02-15,OBRA_57-7699,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,2585,3.0,141579.59,137395.56,193.88
2024-12-02,OBRA_22-7854,Concessionária/Rodovia,Binder,Caminhão Espargidor,1794,6.0,225182.66,223529.2,269.1
2025-10-27,OBRA_37-2029,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,3169,6.0,325982.56,314148.35,475.35
2025-12-01,OBRA_49-1599,Concessionária/Rodovia,Binder,Caminhão Espargidor,14484,4.0,1240592.38,1262057.09,1448.4
2025-12-19,OBRA_49-2073,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,10840,3.0,567681.36,587970.03,813.0
2025-04-21,OBRA_62-7519,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,5468,3.0,332555.41,327322.13,410.1
2025-08-12,OBRA_03-9208,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,10720,6.0,1001279.35,1029778.74,1608.0
2025-06-04,OBRA_14-6795,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,9562,3.0,594703.31,616756.61,717.15
2026-01-18,OBRA_30-1857,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,3359,4.0,409627.7,394685.84,335.9
2026-02-22,OBRA_62-1878,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,8538,3.0,550748.49,553281.48,640.35
2024-09-27,OBRA_03-1380,Concessionária/Rodovia,Binder,Fresadora,13757,5.0,1664690.69,1669083.17,1719.62
2026-01-19,OBRA_30-2048,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,2428,3.5,123689.36,126444.12,212.45
2024-04-01,OBRA_40-3529,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,8770,5.0,1129268.93,1143999.96,1096.25
2025-01-19,OBRA_54-4457,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,6963,3.0,342057.62,326826.32,522.23
2026-01-31,OBRA_47-4480,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,5186,3.5,265992.12,256527.41,453.77
2025-02-26,OBRA_17-6645,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,2117,3.0,96034.81,96434.92,158.78
2024-11-02,OBRA_50-2348,Concessionária/Rodovia,Binder,Rolo Compactador,14627,4.0,1444125.8,1497314.67,1462.7
2025-04-26,OBRA_00-6566,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,7259,6.0,648402.21,667146.35,1088.85
2024-11-09,OBRA_47-8597,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,11092,3.5,663647.26,771080.86,970.55
2025-10-04,OBRA_69-5188,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,11420,6.0,1371793.7,1324889.58,1713.0
2024-06-03,OBRA_54-9674,Concessionária/Rodovia,Binder,Vibroacabadora,4503,4.0,510202.12,492745.58,450.3
2024-10-12,OBRA_68-6519,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,4773,3.0,303467.82,407972.51,357.97
2024-09-30,OBRA_97-8306,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,3119,5.0,389334.53,392543.46,389.88
2025-05-14,OBRA_70-4042,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,7252,3.0,400111.81,401693.51,543.9
2024-07-12,OBRA_62-1677,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,9388,3.0,577154.64,567852.06,704.1
2026-01-19,OBRA_94-6665,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,12990,4.0,1430840.15,1981744.88,1299.0
2025-05-31,OBRA_02-2497,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,7276,6.0,854436.95,880349.6,1091.4
2024-05-05,OBRA_58-7628,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,13144,3.0,783142.17,781232.24,985.8
2025-03-28,OBRA_81-1743,Concessionária/Rodovia,Binder,Vibroacabadora,5965,5.0,675978.2,651342.85,745.62
2025-01-25,OBRA_16-1550,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,11023,3.0,596195.02,593467.22,826.73
2024-06-27,OBRA_74-3847,Concessionária/Rodovia,Binder,Caminhão Espargidor,5523,4.0,654450.44,803663.99,552.3
2025-10-20,OBRA_06-6265,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,5451,3.0,338873.32,322450.69,408.82
2025-05-08,OBRA_87-2476,Concessionária/Rodovia,Binder,Fresadora,2657,6.0,274369.31,339325.23,398.55
2024-03-31,OBRA_01-5542,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,3890,4.0,382483.93,389055.41,389.0
2024-11-10,OBRA_23-4646,Concessionária/Rodovia,Binder,Rolo Compactador,6835,5.0,730261.25,971855.77,854.38
2025-11-06,OBRA_12-3683,Concessionária/Rodovia,Binder,Rolo Compactador,8412,4.0,1026833.49,992296.25,841.2
2024-11-11,OBRA_92-3683,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,12041,3.0,692584.11,685819.96,903.07
2025-10-29,OBRA_19-7453,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,10979,3.0,500343.26,480045.46,823.42
2025-02-02,OBRA_03-3864,Concessionária/Rodovia,Binder,Vibroacabadora,9575,6.0,979411.37,1027059.37,1436.25
2024-04-01,OBRA_65-5756,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,9256,3.0,533832.08,519205.71,694.2
2024-09-16,OBRA_19-6993,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,6266,3.0,383705.01,401113.22,469.95
2025-04-10,OBRA_37-5144,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,2735,3.5,164446.19,172388.84,239.31
2025-03-23,OBRA_05-3646,Concessionária/Rodovia,Binder,Rolo Compactador,1168,4.0,129778.81,126780.6,116.8
2025-02-17,OBRA_76-7333,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,9797,3.0,619979.52,605554.66,734.77
2025-12-10,OBRA_08-1195,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,5592,3.0,349933.93,460599.58,419.4
2024-12-12,OBRA_15-9477,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,13327,5.0,1334693.73,1343937.09,1665.88
2025-10-25,OBRA_73-8661,Concessionária/Rodovia,Binder,Fresadora,1807,5.0,194202.14,267559.85,225.88
2024-10-24,OBRA_91-5216,Concessionária/Rodovia,Binder,Vibroacabadora,3596,5.0,393514.54,379907.67,449.5
2025-06-08,OBRA_82-3555,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,14167,3.5,808616.89,804359.14,1239.61
2025-09-11,OBRA_65-0557,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,14679,3.5,814037.62,967924.56,1284.41
2026-01-24,OBRA_99-9297,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,4575,3.5,257069.98,266849.77,400.31
2024-11-18,OBRA_35-7903,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,12438,5.0,1368397.97,1671355.13,1554.75
2024-09-16,OBRA_25-0036,Concessionária/Rodovia,Binder,Fresadora,12660,6.0,1476087.45,1420264.93,1899.0
2025-01-17,OBRA_42-2049,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,12065,3.0,555268.52,574233.59,904.88
2025-08-24,OBRA_05-5300,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,2957,6.0,381406.66,392686.04,443.55
2026-02-02,OBRA_13-6411,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,14434,3.0,700919.93,730083.37,1082.55
2024-11-10,OBRA_76-1767,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,5868,6.0,583966.39,595179.18,880.2
2025-05-26,OBRA_94-6044,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,3455,3.5,188454.71,185276.23,302.31
2025-08-17,OBRA_44-5936,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,6100,6.0,760098.19,722947.26,915.0
2025-12-08,OBRA_04-1676,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,11024,3.0,527438.21,540411.53,826.8
2025-09-17,OBRA_05-8724,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,8691,3.5,411644.5,410872.44,760.46
2025-04-28,OBRA_55-2621,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,9323,5.0,1033818.91,1001087.82,1165.38
2026-03-13,OBRA_40-1415,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,13085,3.5,623639.55,593216.64,1144.94
2024-07-08,OBRA_56-4960,Concessionária/Rodovia,Binder,Vibroacabadora,8216,6.0,1052934.52,1087136.48,1232.4
2025-10-14,OBRA_23-9651,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,12751,3.0,774926.84,809853.04,956.32
2025-01-21,OBRA_61-6328,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,5173,5.0,586550.02,702035.09,646.62
2025-06-09,OBRA_49-9030,Concessionária/Rodovia,Binder,Rolo Compactador,7501,5.0,810939.02,801888.13,937.62
2024-09-07,OBRA_44-7365,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,7382,6.0,849865.99,1115427.0,1107.3
2024-06-29,OBRA_15-5179,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,6217,5.0,600877.72,618164.94,777.12
2025-09-23,OBRA_11-3595,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,11827,3.0,675450.69,697401.47,887.02
2025-11-18,OBRA_97-6062,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,10977,5.0,1370116.88,1847760.26,1372.12
2024-12-27,OBRA_49-5512,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,3350,3.0,177004.77,175983.09,251.25
2025-11-28,OBRA_93-6526,Concessionária/Rodovia,Binder,Caminhão Espargidor,4853,6.0,556054.98,550840.66,727.95
2025-04-08,OBRA_98-4461,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,8223,3.5,452041.14,432681.79,719.51
2026-03-03,OBRA_31-9511,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,4419,3.0,203117.01,211071.11,331.43
2025-03-11,OBRA_95-6529,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,4930,5.0,512728.82,527997.41,616.25
2025-08-21,OBRA_16-3788,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,11026,3.5,614796.09,603511.19,964.77
2025-08-19,OBRA_28-3419,Concessionária/Rodovia,Binder,Fresadora,5912,5.0,755857.89,1037629.33,739.0
2025-05-06,OBRA_33-1912,Concessionária/Rodovia,Binder,Vibroacabadora,8698,5.0,846311.33,856672.88,1087.25
2024-11-05,OBRA_10-2261,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,14805,3.0,897931.92,921896.01,1110.38
2024-11-07,OBRA_41-6079,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,12843,3.0,618790.58,617277.87,963.22
2025-07-06,OBRA_49-2612,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,14285,3.0,853618.34,1010674.27,1071.38
2025-01-23,OBRA_30-4579,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,7746,3.0,421477.53,422268.53,580.95
2026-02-06,OBRA_83-3470,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,14450,4.0,1685414.73,1696089.76,1445.0
2025-11-02,OBRA_57-0626,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,4377,5.0,373256.66,386907.44,547.12
2024-04-12,OBRA_96-7336,Concessionária/Rodovia,Binder,Fresadora,8566,5.0,1043767.06,1268979.53,1070.75
2025-02-27,OBRA_89-3795,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,6414,5.0,685422.23,678677.42,801.75
2025-09-26,OBRA_42-3443,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,6519,3.0,301532.13,292805.78,488.92
2024-04-07,OBRA_93-5800,Concessionária/Rodovia,Binder,Vibroacabadora,13095,4.0,1190916.63,1235768.9,1309.5
2024-08-27,OBRA_28-2830,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,3765,3.5,237104.27,245442.95,329.44
2024-07-15,OBRA_50-1404,Concessionária/Rodovia,Binder,Vibroacabadora,11136,4.0,1170145.06,1159157.97,1113.6
2025-02-26,OBRA_29-5164,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,7370,6.0,638045.54,625432.09,1105.5
2025-09-10,OBRA_50-5966,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,6035,5.0,656308.13,781527.51,754.38
2025-11-09,OBRA_21-3045,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,9284,3.5,489429.96,496795.41,812.35
2025-09-28,OBRA_88-3986,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,11928,3.0,672394.12,871185.22,894.6
2026-01-31,OBRA_46-4946,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,2981,3.0,162265.04,160498.71,223.57
2024-10-24,OBRA_38-3581,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,1888,3.0,115610.01,110533.04,141.6
2025-11-13,OBRA_30-7551,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,5354,5.0,479619.53,460265.09,669.25
2024-04-15,OBRA_61-3488,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,9013,3.0,530447.75,544010.69,675.98
2024-12-24,OBRA_18-2529,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,6759,3.0,347512.67,355966.46,506.92
2025-02-16,OBRA_52-0302,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,4150,5.0,410697.17,419095.19,518.75
2024-05-06,OBRA_52-6526,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,4917,3.0,308758.86,310679.18,368.77
2025-04-08,OBRA_34-4201,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,11044,6.0,960268.08,1173010.77,1656.6
2025-07-07,OBRA_90-2879,Concessionária/Rodovia,Binder,Fresadora,14601,5.0,1482448.05,1454865.55,1825.12
2024-11-03,OBRA_66-3902,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,13924,3.0,723820.09,710271.47,1044.3
2025-04-29,OBRA_18-3097,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,2837,6.0,259009.95,260728.16,425.55
2025-04-07,OBRA_40-6513,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,9940,3.5,630219.87,758306.54,869.75
2025-02-10,OBRA_48-7710,Concessionária/Rodovia,Binder,Vibroacabadora,2696,5.0,231810.51,233971.25,337.0
2025-10-05,OBRA_24-0117,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,11239,3.0,549105.81,532676.63,842.92
2026-03-13,OBRA_83-9361,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,1002,3.5,61213.54,63024.49,87.67
2024-09-16,OBRA_26-6372,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,14751,3.5,737825.07,754372.44,1290.71
2026-01-29,OBRA_26-5991,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,3668,4.0,381966.83,389884.28,366.8
2025-07-24,OBRA_31-8222,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,10590,3.5,673483.56,706609.83,926.62
2025-01-25,OBRA_13-2859,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,14206,3.5,898298.78,869116.18,1243.02
2024-04-11,OBRA_77-4532,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,4525,3.5,220008.94,230318.97,395.94
2026-02-08,OBRA_73-1947,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,6652,6.0,825102.4,851361.34,997.8
2024-12-18,OBRA_55-2259,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,13691,3.0,884104.77,840332.92,1026.83
2025-08-17,OBRA_57-8355,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,4385,3.0,229296.67,234469.68,328.88
2024-12-01,OBRA_85-0883,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,10126,3.5,549011.97,554437.4,886.02
2024-03-24,OBRA_95-2627,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,4861,4.0,507796.57,519161.46,486.1
2025-03-12,OBRA_12-2806,Concessionária/Rodovia,Binder,Vibroacabadora,10907,6.0,1138562.79,1088032.89,1636.05
2024-06-16,OBRA_44-7443,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,10623,3.5,517764.72,630880.31,929.51
2024-08-18,OBRA_90-1249,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,10679,5.0,1138795.58,1182246.93,1334.88
2024-11-07,OBRA_31-9282,Concessionária/Rodovia,Binder,Caminhão Espargidor,1235,6.0,123945.79,125460.35,185.25
2024-05-10,OBRA_99-9357,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,1528,4.0,149404.35,149510.06,152.8
2024-03-18,OBRA_63-9387,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,8330,3.0,465243.98,460221.83,624.75
2024-07-29,OBRA_55-1861,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,11801,4.0,1423761.99,1455140.03,1180.1
2025-01-19,OBRA_60-5188,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,1044,3.5,57015.18,55342.66,91.35
2025-02-15,OBRA_43-3392,Concessionária/Rodovia,Binder,Vibroacabadora,8580,4.0,1078743.18,1089981.55,858.0
2024-07-21,OBRA_68-4782,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,10490,3.5,566017.24,679399.92,917.87
2024-08-04,OBRA_56-7422,Concessionária/Rodovia,Binder,Vibroacabadora,4606,4.0,442277.77,461062.53,460.6
2025-06-24,OBRA_21-2117,Concessionária/Rodovia,Binder,Rolo Compactador,7611,4.0,958011.3,951523.2,761.1
2025-11-16,OBRA_44-5192,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,1633,5.0,157612.28,200113.17,204.12
2024-09-23,OBRA_37-3135,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,8137,3.5,419626.93,416049.51,711.99
2025-11-19,OBRA_50-1797,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,7497,4.0,742600.89,777644.78,749.7
2026-02-06,OBRA_51-5774,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,1286,3.5,64484.83,63461.05,112.52
2024-05-29,OBRA_95-3906,Concessionária/Rodovia,CBUQ Faixa B,Rolo Compactador,5778,4.0,603361.23,628625.38,577.8
2024-07-31,OBRA_49-0654,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,7351,5.0,906496.86,912862.33,918.88
2025-06-08,OBRA_02-3654,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,8846,3.5,430384.57,418897.82,774.02
2024-11-16,OBRA_42-9278,Loteamento/Prefeitura,CBUQ Faixa C,Vibroacabadora,14681,3.0,919976.47,942758.59,1101.08
2025-04-07,OBRA_79-3494,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,12752,3.0,779163.88,779762.88,956.4
2025-04-21,OBRA_77-1625,Concessionária/Rodovia,CBUQ Faixa B,Vibroacabadora,2765,4.0,278709.56,284423.74,276.5
